epochs steps out_loss offset_loss train_accuracy time
0 0 2.561 12.193 0.090 4544.826
0 1 2.538 11.439 0.176 7376.124
0 2 2.523 10.813 0.281 11808.938
0 3 2.505 10.603 0.290 14877.859
0 4 2.478 10.904 0.302 17912.076
0 5 2.486 10.317 0.321 20560.791
0 6 2.411 10.104 0.497 24100.157
0 7 2.430 10.784 0.395 27304.427
0 8 2.325 10.650 0.580 30000.617
0 9 2.221 11.064 0.545 32960.872
0 10 2.170 10.420 0.648 35238.468
0 11 2.330 11.131 0.384 36234.059
0 12 2.068 10.334 0.523 36858.591
0 13 2.036 10.029 0.549 37487.447
0 14 1.887 10.244 0.571 38078.593
0 15 1.910 9.419 0.530 38727.068
0 16 1.790 9.169 0.596 39365.323
0 17 1.814 8.852 0.548 39986.979
0 18 1.981 8.396 0.509 40637.284
